timestamp_ms,vm_id,cpu_cores,mem_gb,duration_steps
0,vm_10000,4.0,8.0,141
1000,vm_10001,2.0,4.0,177
2000,vm_10002,4.0,8.0,103
3000,vm_10003,4.0,8.0,93
4000,vm_10004,2.0,4.0,164
5000,vm_10005,8.0,16.0,78
6000,vm_10006,2.0,4.0,54
7000,vm_10007,2.0,4.0,164
8000,vm_10008,4.0,8.0,142
9000,vm_10009,2.0,4.0,38
10000,vm_10010,2.0,4.0,166
11000,vm_10011,8.0,16.0,175
12000,vm_10012,4.0,8.0,152
13000,vm_10013,2.0,4.0,94
14000,vm_10014,4.0,8.0,154
15000,vm_10015,8.0,16.0,73
16000,vm_10016,2.0,4.0,64
17000,vm_10017,2.0,4.0,172
18000,vm_10018,2.0,4.0,134
19000,vm_10019,2.0,4.0,57
20000,vm_10020,2.0,4.0,64
21000,vm_10021,4.0,8.0,178
22000,vm_10022,4.0,8.0,38
23000,vm_10023,4.0,8.0,44
24000,vm_10024,8.0,16.0,120
25000,vm_10025,2.0,4.0,44
26000,vm_10026,2.0,4.0,136
27000,vm_10027,2.0,4.0,43
28000,vm_10028,4.0,8.0,50
29000,vm_10029,4.0,8.0,164
30000,vm_10030,8.0,16.0,90
31000,vm_10031,8.0,16.0,61
32000,vm_10032,2.0,4.0,143
33000,vm_10033,16.0,32.0,54
34000,vm_10034,4.0,8.0,114
35000,vm_10035,2.0,4.0,195
36000,vm_10036,2.0,4.0,77
37000,vm_10037,8.0,16.0,133
38000,vm_10038,8.0,16.0,139
39000,vm_10039,4.0,8.0,99
40000,vm_10040,2.0,4.0,128
41000,vm_10041,16.0,32.0,47
42000,vm_10042,2.0,4.0,69
43000,vm_10043,2.0,4.0,132
44000,vm_10044,2.0,4.0,135
45000,vm_10045,4.0,8.0,194
46000,vm_10046,2.0,4.0,56
47000,vm_10047,8.0,16.0,51
48000,vm_10048,2.0,4.0,78
49000,vm_10049,2.0,4.0,137
50000,vm_10050,2.0,4.0,60
51000,vm_10051,4.0,8.0,189
52000,vm_10052,4.0,8.0,154
53000,vm_10053,4.0,8.0,85
54000,vm_10054,2.0,4.0,46
55000,vm_10055,8.0,16.0,140
56000,vm_10056,2.0,4.0,188
57000,vm_10057,2.0,4.0,116
58000,vm_10058,4.0,8.0,126
59000,vm_10059,2.0,4.0,194
60000,vm_10060,2.0,4.0,46
61000,vm_10061,4.0,8.0,73
62000,vm_10062,2.0,4.0,183
63000,vm_10063,4.0,8.0,31
64000,vm_10064,4.0,8.0,31
65000,vm_10065,2.0,4.0,84
66000,vm_10066,2.0,4.0,132
67000,vm_10067,2.0,4.0,94
68000,vm_10068,2.0,4.0,192
69000,vm_10069,4.0,8.0,142
70000,vm_10070,8.0,16.0,98
71000,vm_10071,16.0,32.0,193
72000,vm_10072,2.0,4.0,32
73000,vm_10073,4.0,8.0,78
74000,vm_10074,2.0,4.0,152
75000,vm_10075,4.0,8.0,171
76000,vm_10076,4.0,8.0,46
77000,vm_10077,16.0,32.0,195
78000,vm_10078,2.0,4.0,128
79000,vm_10079,4.0,8.0,193
