episode,reward,energy_kwh,carbon_gco2eq,sla_violations,dropped_vms,epsilon,avg_loss
1,-912.8999999999986,9.50937499999994,1711.6875,0.0,0,0.9340043510206455,0.026395939216369808
2,-920.3999999999961,9.58749999999995,1725.75,0.0,0,0.8725933606562447,0.15275296057134444
3,-926.9999999999957,9.65624999999997,1738.125,0.0,0,0.8154485367798057,0.24337335396558046
4,-898.7999999999965,9.362499999999947,1685.25,0.0,0,0.7622735126270892,0.2436391515036424
5,-917.6999999999971,9.55937499999995,1720.6875,0.0,0,0.7127925097674795,0.2638264735746715
6,-947.9999999999956,9.87499999999996,1777.5,0.0,0,0.6667489078508901,0.2660580747553872
7,-904.7999999999972,9.424999999999928,1696.5,0.0,0,0.6239039137130715,0.2815384484258377
8,-890.3999999999985,9.274999999999933,1669.5,0.0,0,0.5840353229369813,0.26988362302589747
9,-919.4999999999993,9.578124999999925,1724.0625,0.0,0,0.5469363674473757,0.2543511983576334
10,-932.0999999999963,9.709374999999943,1747.6875,0.0,0,0.512414643161973,0.24012914221061188
11,-887.0999999999982,9.240624999999902,1663.3125,0.0,0,0.4802911121377298,0.27847417275317843
12,-916.4999999999981,9.54687499999993,1718.4375,0.0,0,0.4503991740371217,0.26693926374945376
13,-921.8999999999978,9.603124999999933,1728.5625,0.0,0,0.4225838020988297,0.2566195659442908
14,-908.3999999999978,9.462499999999931,1703.25,0.0,0,0.396700739131769,0.2599630018282268
15,-917.6999999999969,9.55937499999996,1720.6875,0.0,0,0.37261574936269215,0.2657861165650603
16,-879.2999999999994,9.159374999999923,1648.6875,0.0,0,0.35020392225726943,0.27987685402751794
17,-941.6999999999985,9.809374999999926,1765.6875,0.0,0,0.32934902470409444,0.289013521036961
18,-884.6999999999985,9.215624999999939,1658.8125,0.0,0,0.30994289820188764,0.2887824458742721
19,-866.9999999999983,9.031249999999924,1625.625,0.0,0,0.29188489792356354,0.29119505326574047
20,-895.7999999999971,9.331249999999956,1679.625,0.0,0,0.27508137074801564,0.2860436084162858
