episode,reward,energy_kwh,carbon_gco2eq,sla_violations,dropped_vms,epsilon,avg_loss
1,-926.9999999999965,9.656249999999986,1738.125,0.0,0,0.9340043510206455,0.13528886619879274
2,-920.6999999999983,9.590624999999934,1726.3125,0.0,0,0.8725933606562447,0.18280112504726276
3,-983.3999999999974,10.243749999999968,1843.875,0.0,0,0.8154485367798057,0.2629493553191423
4,-903.599999999998,9.412499999999952,1694.25,0.0,0,0.7622735126270892,0.24975361365100576
5,-887.6999999999983,9.246874999999928,1664.4375,0.0,0,0.7127925097674795,0.26630768791979387
6,-859.1999999999997,8.949999999999903,1611.0,0.0,0,0.6667489078508901,0.2559141493609382
7,-863.9999999999981,8.99999999999992,1620.0,0.0,0,0.6239039137130715,0.2445313413420485
8,-903.5999999999967,9.412499999999937,1694.25,0.0,0,0.5840353229369813,0.2510759297240939
9,-926.6999999999978,9.653124999999926,1737.5625,0.0,0,0.5469363674473757,0.24284939157983496
10,-854.3999999999992,8.899999999999913,1602.0,0.0,0,0.512414643161973,0.25854277917080454
11,-909.899999999998,9.478124999999952,1706.0625,0.0,0,0.4802911121377298,0.23434030815389836
12,-885.5999999999987,9.224999999999936,1660.5,0.0,0,0.4503991740371217,0.2764406547519482
13,-948.2999999999961,9.878124999999965,1778.0625,0.0,0,0.4225838020988297,0.27989312233920727
14,-904.7999999999984,9.42499999999994,1696.5,0.0,0,0.396700739131769,0.2651347450058286
15,-897.5999999999976,9.349999999999932,1683.0,0.0,0,0.37261574936269215,0.268563517027845
16,-962.6999999999988,10.028124999999953,1805.0625,0.0,0,0.35020392225726943,0.262302825299816
17,-904.4999999999961,9.421874999999956,1695.9375,0.0,0,0.32934902470409444,0.2896910505938447
18,-926.0999999999974,9.646874999999943,1736.4375,0.0,0,0.30994289820188764,0.25493307788338926
19,-932.6999999999971,9.71562499999995,1748.8125,0.0,0,0.29188489792356354,0.2853327015311354
20,-878.9999999999973,9.156249999999929,1648.125,0.0,0,0.27508137074801564,0.2949725663082467
21,-905.6999999999978,9.434374999999944,1698.1875,0.0,0,0.25944516955256514,0.3046377862544937
22,-923.3999999999967,9.618749999999938,1731.375,0.0,0,0.2448952012470783,0.26552809099666774
23,-896.6999999999953,9.340624999999958,1681.3125,0.0,0,0.23135600620574903,0.29544410762480566
24,-912.8999999999971,9.509374999999938,1711.6875,0.0,0,0.21875736691537823,0.29702691786612073
25,-899.699999999998,9.371874999999918,1686.9375,0.0,0,0.20703394381050721,0.30060487501840627
26,-930.2999999999973,9.690624999999944,1744.3125,0.0,0,0.19612493640675782,0.3039672422015833
27,-924.2999999999984,9.628124999999939,1733.0625,0.0,0,0.1859737679749358,0.29192488942967937
28,-910.1999999999981,9.481249999999923,1706.625,0.0,0,0.17652779212054204,0.2869656495232549
29,-942.6000000000001,9.818749999999943,1767.375,0.0,0,0.16773801974694202,0.2916026719017989
30,-924.8999999999971,9.634374999999945,1734.1875,0.0,0,0.1595588649861594,0.27637948599230083
31,-899.3999999999985,9.368749999999922,1686.375,0.0,0,0.15194790877962983,0.31006089553961325
32,-925.1999999999969,9.637499999999939,1734.75,0.0,0,0.14486567888278806,0.3395613287937724
33,-917.9999999999981,9.56249999999993,1721.25,0.0,0,0.13827544515253895,0.3270490438780851
34,-912.5999999999976,9.506249999999945,1711.125,0.0,0,0.132143029055925,0.3218351734129505
35,-910.4999999999987,9.484374999999934,1707.1875,0.0,0,0.12643662641205583,0.3344442416655107
36,-900.5999999999971,9.381249999999941,1688.625,0.0,0,0.12112664244799676,0.3280114216005637
37,-926.3999999999972,9.649999999999942,1737.0,0.0,0,0.11618553831317775,0.32156283148409176
38,-924.2999999999972,9.628124999999942,1733.0625,0.0,0,0.11158768825630816,0.31164139913550265
39,-918.2999999999978,9.565624999999935,1721.8125,0.0,0,0.10730924672408373,0.3016982288720707
40,-921.2999999999968,9.596874999999976,1727.4375,0.0,0,0.10332802469242704,0.34637460017369853
41,-924.2999999999978,9.628124999999962,1733.0625,0.0,0,0.09962337458888623,0.3115268302667472
42,-926.6999999999978,9.653124999999948,1737.5625,0.0,0,0.09617608320937132,0.33466968446349105
43,-910.7999999999956,9.487499999999939,1707.75,0.0,0,0.09296827207386907,0.31301707355822955
44,-929.6999999999986,9.684374999999937,1743.1875,0.0,0,0.089983304704357,0.30664584901597763
45,-909.2999999999961,9.471874999999953,1704.9375,0.0,0,0.08720570034403771,0.3036040442323105
46,-889.1999999999982,9.262499999999925,1667.25,0.0,0,0.08462105367042072,0.3561003986021711
47,-939.5999999999991,9.787499999999959,1761.75,0.0,0,0.08221596008586442,0.34588801339009984
48,-911.699999999997,9.496874999999946,1709.4375,0.0,0,0.07997794619811746,0.35429218728612694
49,-898.7999999999969,9.36249999999996,1685.25,0.0,0,0.07789540513031437,0.34275706248461374
50,-923.0999999999972,9.615624999999937,1730.8125,0.0,0,0.07595753632492794,0.3664326331474715
51,-961.7999999999976,10.01874999999996,1803.375,0.0,0,0.0741542895294871,0.31407439777524104
52,-901.799999999997,9.39374999999994,1690.875,0.0,0,0.07247631267355686,0.33298785648463913
