episode,reward,energy_kwh,carbon_gco2eq,sla_violations,dropped_vms,epsilon,avg_loss
1,-528.237187500006,9.728124999999963,1751.0625,0.0,0,0.0,0.0
2,-521.2800000000055,9.599999999999962,1728.0,0.0,0,0.0,0.0
3,-519.4134375000061,9.565624999999963,1721.8125,0.0,0,0.0,0.0
4,-511.6078125000057,9.421874999999952,1695.9375,0.0,0,0.0,0.0
5,-521.1103125000067,9.59687499999994,1727.4375,0.0,0,0.0,0.0
6,-509.2321875000053,9.378124999999939,1688.0625,0.0,0,0.0,0.0
7,-517.3771875000054,9.528124999999935,1715.0625,0.0,0,0.0,0.0
8,-508.0443750000053,9.356249999999928,1684.125,0.0,0,0.0,0.0
9,-520.2618750000058,9.581249999999958,1724.625,0.0,0,0.0,0.0
10,-487.68187500000596,8.981249999999912,1616.625,0.0,0,0.0,0.0
11,-527.0493750000057,9.706249999999958,1747.125,0.0,0,0.0,0.0
12,-518.7346875000062,9.55312499999995,1719.5625,0.0,0,0.0,0.0
13,-505.32937500000577,9.306249999999952,1675.125,0.0,0,0.0,0.0
14,-509.9109375000068,9.390624999999918,1690.3125,0.0,0,0.0,0.0
15,-495.9965625000061,9.13437499999992,1644.1875,0.0,0,0.0,0.0
16,-512.1168750000055,9.431249999999942,1697.625,0.0,0,0.0,0.0
17,-518.9043750000066,9.55624999999994,1720.125,0.0,0,0.0,0.0
18,-528.067500000006,9.724999999999978,1750.5,0.0,0,0.0,0.0
19,-508.72312500000555,9.368749999999938,1686.375,0.0,0,0.0,0.0
20,-521.7890625000059,9.609374999999957,1729.6875,0.0,0,0.0,0.0
21,-519.5831250000061,9.568749999999937,1722.375,0.0,0,0.0,0.0
22,-506.6868750000054,9.331249999999935,1679.625,0.0,0,0.0,0.0
23,-508.5534375000059,9.36562499999993,1685.8125,0.0,0,0.0,0.0
24,-505.329375000006,9.306249999999928,1675.125,0.0,0,0.0,0.0
25,-503.6325000000058,9.274999999999945,1669.5,0.0,0,0.0,0.0
26,-492.43312500000565,9.068749999999921,1632.375,0.0,0,0.0,0.0
27,-522.976875000006,9.63124999999995,1733.625,0.0,0,0.0,0.0
28,-504.9900000000063,9.29999999999995,1674.0,0.0,0,0.0,0.0
29,-521.7890625000058,9.609374999999932,1729.6875,0.0,0,0.0,0.0
30,-508.553437500007,9.365624999999914,1685.8125,0.0,0,0.0,0.0
31,-519.2437500000063,9.56249999999995,1721.25,0.0,0,0.0,0.0
32,-517.0378125000055,9.521874999999948,1713.9375,0.0,0,0.0,0.0
33,-506.0081250000057,9.318749999999929,1677.375,0.0,0,0.0,0.0
34,-531.970312500006,9.79687499999994,1763.4375,0.0,0,0.0,0.0
35,-518.5650000000053,9.549999999999947,1719.0,0.0,0,0.0,0.0
36,-502.44468750000533,9.25312499999994,1665.5625,0.0,0,0.0,0.0
37,-524.3343750000065,9.656249999999936,1738.125,0.0,0,0.0,0.0
38,-515.5106250000058,9.493749999999936,1708.875,0.0,0,0.0,0.0
39,-513.135000000006,9.449999999999946,1701.0,0.0,0,0.0,0.0
40,-525.182812500007,9.67187499999995,1740.9375,0.0,0,0.0,0.0
41,-521.7890625000065,9.609374999999936,1729.6875,0.0,0,0.0,0.0
42,-491.75437500000584,9.05624999999992,1630.125,0.0,0,0.0,0.0
43,-504.3112500000061,9.287499999999941,1671.75,0.0,0,0.0,0.0
44,-491.24531250000564,9.046874999999938,1628.4375,0.0,0,0.0,0.0
45,-524.1646875000065,9.65312499999994,1737.5625,0.0,0,0.0,0.0
46,-521.2800000000061,9.599999999999959,1728.0,0.0,0,0.0,0.0
47,-515.5106250000061,9.493749999999938,1708.875,0.0,0,0.0,0.0
48,-499.5600000000062,9.199999999999918,1656.0,0.0,0,0.0,0.0
49,-506.8565625000065,9.334374999999945,1680.1875,0.0,0,0.0,0.0
50,-503.29312500000594,9.268749999999933,1668.375,0.0,0,0.0,0.0
51,-518.565000000006,9.549999999999946,1719.0,0.0,0,0.0,0.0
52,-534.1762500000059,9.837499999999977,1770.75,0.0,0,0.0,0.0
53,-515.3409375000061,9.490624999999937,1708.3125,0.0,0,0.0,0.0
54,-504.9900000000061,9.299999999999901,1674.0,0.0,0,0.0,0.0
55,-540.1153125000063,9.946874999999944,1790.4375,0.0,0,0.0,0.0
56,-522.8071875000063,9.628124999999942,1733.0625,0.0,0,0.0,0.0
57,-520.4315625000061,9.58437499999994,1725.1875,0.0,0,0.0,0.0
58,-509.91093750000687,9.390624999999954,1690.3125,0.0,0,0.0,0.0
59,-499.2206250000063,9.193749999999916,1654.875,0.0,0,0.0,0.0
60,-509.91093750000596,9.390624999999913,1690.3125,0.0,0,0.0,0.0
61,-509.74125000000595,9.387499999999926,1689.75,0.0,0,0.0,0.0
62,-506.0081250000059,9.318749999999934,1677.375,0.0,0,0.0,0.0
63,-502.95375000000627,9.262499999999926,1667.25,0.0,0,0.0,0.0
64,-519.9225000000064,9.574999999999944,1723.5,0.0,0,0.0,0.0
65,-519.9225000000056,9.574999999999964,1723.5,0.0,0,0.0,0.0
66,-537.5700000000065,9.89999999999992,1782.0,0.0,0,0.0,0.0
67,-534.1762500000063,9.837499999999965,1770.75,0.0,0,0.0,0.0
68,-526.7100000000055,9.69999999999993,1746.0,0.0,0,0.0,0.0
69,-502.78406250000563,9.259374999999949,1666.6875,0.0,0,0.0,0.0
70,-500.0690625000063,9.209374999999934,1657.6875,0.0,0,0.0,0.0
71,-521.6193750000062,9.606249999999978,1729.125,0.0,0,0.0,0.0
72,-508.89281250000573,9.371874999999914,1686.9375,0.0,0,0.0,0.0
73,-485.64562500000613,8.9437499999999,1609.875,0.0,0,0.0,0.0
74,-517.3771875000068,9.528124999999898,1715.0625,0.0,0,0.0,0.0
75,-519.0740625000067,9.55937499999993,1720.6875,0.0,0,0.0,0.0
76,-504.31125000000566,9.287499999999927,1671.75,0.0,0,0.0,0.0
77,-497.523750000006,9.16249999999992,1649.25,0.0,0,0.0,0.0
78,-508.89281250000556,9.371874999999935,1686.9375,0.0,0,0.0,0.0
79,-491.75437500000527,9.056249999999899,1630.125,0.0,0,0.0,0.0
80,-516.528750000006,9.51249999999992,1712.25,0.0,0,0.0,0.0
81,-515.0015625000058,9.484374999999941,1707.1875,0.0,0,0.0,0.0
82,-514.8318750000052,9.481249999999939,1706.625,0.0,0,0.0,0.0
